,GameID,EnteredDateTimeUTC,EnteredDateTimeET,AwayTeam,HomeTeam,DoubleHeaderGame,AwayStartingPitcher,HomeStartingPicher,FinalScoreAway,FinalScoreHome
0,PIT201604030,2016-03-31 14:16,2016-03-31 10:16,St. Louis Cardinals,Pittsburgh Pirates,0,a wainwright,F LIRIANO,1,4
1,TBA201604030,2016-03-31 14:17,2016-03-31 10:17,Toronto Blue Jays,Tampa Bay Rays,0,m stroman,C ARCHER,5,3
2,KCA201604030,2016-03-31 14:17,2016-03-31 10:17,New York Mets,Kansas City Royals,0,m harvey,E VOLQUEZ,3,4
3,MIL201604040,2016-04-02 17:32,2016-04-02 13:32,San Francisco Giants,Milwaukee Brewers,0,m bumgarner,W PERALTA,12,3
4,BAL201604040,2016-04-02 19:44,2016-04-02 15:44,Minnesota Twins,Baltimore Orioles,0,e santana,C TILLMAN,2,3
5,TEX201604040,2016-04-02 19:44,2016-04-02 15:44,Seattle Mariners,Texas Rangers,0,f hernandez,C HAMELS,2,3
6,CIN201604040,2016-04-02 19:44,2016-04-02 15:44,Philadelphia Phillies,Cincinnati Reds,0,j hellickson,R IGLESIAS,2,6
7,ATL201604040,2016-04-02 19:44,2016-04-02 15:44,Washington Nationals,Atlanta Braves,0,m scherzer,J TEHERAN,4,3
8,SDN201604040,2016-04-02 19:44,2016-04-02 15:44,Los Angeles Dodgers,San Diego Padres,0,c kershaw,T ROSS,15,0
9,TBA201604040,2016-04-02 19:45,2016-04-02 15:45,Toronto Blue Jays,Tampa Bay Rays,0,ra dickey,D SMYLY,5,3
10,ARI201604040,2016-04-02 19:44,2016-04-02 15:44,Colorado Rockies,Arizona Diamondbacks,0,j de la rosa,Z GREINKE,10,5
11,ANA201604040,2016-04-02 19:45,2016-04-02 15:45,Chicago Cubs,Los Angeles Angels of Anaheim,0,j arrieta,G RICHARDS,9,0
12,OAK201604040,2016-04-04 12:49,2016-04-04 8:49,Chicago White Sox,Oakland Athletics,0,c sale,R HILL,4,3
13,NYA201604050,2016-04-04 12:11,2016-04-04 8:11,Houston Astros,New York Yankees,0,d keuchel,MTANAKA,5,3
14,CLE201604050,2016-04-04 13:01,2016-04-04 9:01,Boston Red Sox,Cleveland Indians,0,d price,C KLUBER,6,2
15,KCA201604050,2016-04-04 12:12,2016-04-04 8:12,New York Mets,Kansas City Royals,0,n syndergaard,C YOUNG,2,0
16,PIT201604050,2016-04-04 12:11,2016-04-04 8:11,St. Louis Cardinals,Pittsburgh Pirates,0,m wacha,J NIESE,5,6
17,MIA201604050,2016-04-04 12:13,2016-04-04 8:13,Detroit Tigers,Miami Marlins,0,j verlander,W CHEN,8,7
18,TBA201604050,2016-04-04 12:11,2016-04-04 8:11,Toronto Blue Jays,Tampa Bay Rays,0,a sanchez,J ODORIZZI,2,3
19,TEX201604050,2016-04-04 12:12,2016-04-04 8:12,Seattle Mariners,Texas Rangers,0,h iwakuma,M PEREZ,10,2
20,MIL201604050,2016-04-04 12:11,2016-04-04 8:11,San Francisco Giants,Milwaukee Brewers,0,j cueto,J NELSON,2,1
21,ARI201604050,2016-04-04 12:11,2016-04-04 8:11,Colorado Rockies,Arizona Diamondbacks,0,c bettis,S MILLER,6,11
22,ANA201604050,2016-04-04 12:12,2016-04-04 8:12,Chicago Cubs,Los Angeles Angels of Anaheim,0,j lester,A HEANEY,6,1
23,OAK201604050,2016-04-05 3:52,2016-04-04 23:52,Chicago White Sox,Oakland Athletics,0,j quintana,CBASSITT,5,4
24,SDN201604050,2016-04-04 12:11,2016-04-04 8:11,Los Angeles Dodgers,San Diego Padres,0,s kazmir,J SHIELDS,3,0
25,TBA201604060,2016-04-05 12:24,2016-04-05 8:24,Toronto Blue Jays,Tampa Bay Rays,0,ja happ,M MOORE,3,5
26,MIL201604060,2016-04-05 12:24,2016-04-05 8:24,San Francisco Giants,Milwaukee Brewers,0,j samardzija,T JUNGMANN,3,4
27,TEX201604060,2016-04-05 12:24,2016-04-05 8:24,Seattle Mariners,Texas Rangers,0,w miley,C LEWIS,9,5
28,ARI201604060,2016-04-05 12:24,2016-04-05 8:24,Colorado Rockies,Arizona Diamondbacks,0,t chatwood,P CORBIN,4,3
29,MIA201604060,2016-04-05 12:24,2016-04-05 8:24,Detroit Tigers,Miami Marlins,0,a sanchez,J FERNANDEZ,7,3
30,CLE201604060,2016-04-05 12:24,2016-04-05 8:24,Boston Red Sox,Cleveland Indians,0,c buchholz,C CARRASCO,6,7
31,NYA201604060,2016-04-05 12:24,2016-04-05 8:24,Houston Astros,New York Yankees,0,c mchugh,M PINEDA,6,16
32,BAL201604060,2016-04-05 12:24,2016-04-05 8:24,Minnesota Twins,Baltimore Orioles,0,k gibson,Y GALLARDO,2,4
33,PIT201604060,2016-04-05 12:24,2016-04-05 8:24,St. Louis Cardinals,Pittsburgh Pirates,0,m leake,J NICASIO,1,5
34,CIN201604060,2016-04-05 12:24,2016-04-05 8:24,Philadelphia Phillies,Cincinnati Reds,0,a nola,B FINNEGAN,2,3
35,ATL201604060,2016-04-05 12:24,2016-04-05 8:24,Washington Nationals,Atlanta Braves,0,s strasburg,B NORRIS,3,1
36,SDN201604060,2016-04-05 12:24,2016-04-05 8:24,Los Angeles Dodgers,San Diego Padres,0,k maeda,A CASHNER,7,0
37,OAK201604060,2016-04-05 12:24,2016-04-05 8:24,Chicago White Sox,Oakland Athletics,0,c rodon,S GRAY,1,2
38,CIN201604070,2016-04-06 12:16,2016-04-06 8:16,Philadelphia Phillies,Cincinnati Reds,0,c morton,R STEPHENSON,6,10
39,OAK201604070,2016-04-06 12:16,2016-04-06 8:16,Chicago White Sox,Oakland Athletics,0,m latos,K GRAVEMAN,6,1
40,NYA201604070,2016-04-06 12:16,2016-04-06 8:16,Houston Astros,New York Yankees,0,m fiers,N EOVALDI,5,8
41,WAS201604070,2016-04-06 12:16,2016-04-06 8:16,Miami Marlins,Washington Nationals,0,a conley,T ROARK,6,4
42,SFN201604070,2016-04-06 12:16,2016-04-06 8:16,Los Angeles Dodgers,San Francisco Giants,0,a wood,J PEAVY,6,12
43,BAL201604070,2016-04-06 12:16,2016-04-06 8:16,Minnesota Twins,Baltimore Orioles,0,p hughes,U JIMENEZ,2,4
44,ARI201604070,2016-04-06 12:16,2016-04-06 8:16,Chicago Cubs,Arizona Diamondbacks,0,j lackey,R DE LA ROSA,14,6
45,ANA201604070,2016-04-06 12:16,2016-04-06 8:16,Texas Rangers,Los Angeles Angels of Anaheim,0,d holland,H SANTIAGO,3,4
46,DET201604080,2016-04-08 3:51,2016-04-07 23:51,New York Yankees,Detroit Tigers,0,l severino,J ZIMMERMANN,0,4
47,NYN201604080,2016-04-07 12:12,2016-04-07 8:12,Philadelphia Phillies,New York Mets,0,j eickhoff,J DEGROM,2,7
48,CHA201604080,2016-04-07 16:23,2016-04-07 12:23,Cleveland Indians,Chicago White Sox,0,d salazar,J DANKS,7,1
